Date,Close
2019-12-31,90.95
2020-01-02,92.04
2020-01-03,91.25
2020-01-06,91.64
2020-01-07,89.2
2020-01-08,88.6
2020-01-09,89.38
2020-01-10,89.53
2020-01-13,89.51
2020-01-14,89.93
2020-01-15,91.54
2020-01-16,91.18
2020-01-17,90.97
2020-01-21,89.97
2020-01-22,89.65
2020-01-23,88.56
2020-01-24,85.98
2020-01-27,86.1
2020-01-28,86.25
2020-01-29,87.24
2020-01-30,86.5
2020-01-31,85.44
2020-02-03,87.34
2020-02-04,88.36
2020-02-05,85.83
2020-02-06,85.68
2020-02-07,85.08
2020-02-10,85.66
2020-02-11,85.25
2020-02-12,83.25
2020-02-13,81.97
2020-02-14,82.65
2020-02-18,82.46
2020-02-19,82
2020-02-20,82.49
2020-02-21,82.34
2020-02-24,81.33
2020-02-25,80.27
2020-02-26,79.94
2020-02-27,78.08
2020-02-28,76.56
2020-03-02,81.37
2020-03-03,79.13
2020-03-04,82.97
2020-03-05,81.58
2020-03-06,82.2
2020-03-09,78.96
2020-03-10,82.02
2020-03-11,79.25
2020-03-12,74.45
2020-03-13,76.75
2020-03-16,69.92
2020-03-17,74.48
2020-03-18,71.63
2020-03-19,70.73
2020-03-20,71.36
2020-03-23,66.4
2020-03-24,69.05
2020-03-25,68.22
2020-03-26,73.53
2020-03-27,71.73
2020-03-30,76.95
2020-03-31,76.94
2020-04-01,73.8
2020-04-02,76.87
2020-04-03,76.25
2020-04-06,80.31
2020-04-07,78.56
2020-04-08,81.62
2020-04-09,82.49
2020-04-13,80.54
2020-04-14,82.84
2020-04-15,82.07
2020-04-16,83
2020-04-17,83.46
2020-04-20,83.1
2020-04-21,78.56
2020-04-22,79.98
2020-04-23,80.88
2020-04-24,81.43
2020-04-27,83.98
2020-04-28,81.18
2020-04-29,80.77
2020-04-30,79.34
2020-05-01,77.67
2020-05-04,76.86
2020-05-05,78.01
2020-05-06,77.12
2020-05-07,75.6
2020-05-08,76.4
2020-05-11,77.91
2020-05-12,77.19
2020-05-13,77.89
2020-05-14,80.05
